"","SRR23426222","SRR23426221","SRR23426220","SRR23426219","SRR23426218","SRR23426217","SRR23426216","SRR23426214","SRR23426213","SRR23426212","SRR23426215","SRR23426211","SRR23426210","SRR23426209","SRR23426208"
"CAETHG_RS10830",104.112614003792,110.229148403755,62.3265337357584,46.3044384051824,142.024344797393,114.582896169205,66.9533457271233,78.07665508076,49.9333128883472,52.3396073773454,152.565191266801,82.6773930347613,99.2360461783123,87.0083297645583,124.057878917487
"CAETHG_RS10835",46.5184020016943,62.9880848021455,37.1307009489625,48.8301350454651,78.3257183932469,55.2306046283216,57.38858205182,52.0511033871734,44.1271137152836,42.4375194951449,99.1187866828897,66.8214546445331,63.8495490914722,58.7306225910769,72.6192461956021
"CAETHG_RS10840",91.9292230033483,69.4721523553075,66.3048231231473,150.699899536866,113.713844173328,98.0961485189593,119.559545941292,108.83412526409,76.6418290844399,110.337550687377,93.2882698191903,95.1356303413691,104.620947908918,98.9719751071851,113.971872501431
"CAETHG_RS11105",137.340044005002,66.6932662610952,96.805041759795,101.027865611307,93.424652059415,79.9607261036895,114.77716410364,140.774575069855,102.18910544592,74.9729511080894,80.655483281175,83.8099600626347,102.313132881516,126.16207815861,152.298696882443
"CAETHG_RS11115",45.410821001654,27.788860942123,39.7828938738884,30.3083596833921,26.8949755928619,28.0274710054169,47.8238183765167,53.2340830096091,35.9984348729945,45.2666874614879,21.3785618335645,37.3747119198236,47.694843899654,54.380206102849,50.4300320802792
"CAETHG_RS11150",110.758100004034,98.187308662168,86.1962700600915,126.284832014134,94.8401770906182,96.4474737539348,80.1048957806654,98.1873086621679,81.2867884228908,82.0458710239468,100.090539493506,103.063599536483,100.774589529914,102.234787473356,121.03207699267
"CAETHG_RS11155",115691.265778214,143230.273363255,116333.138266024,102402.686482501,90832.3538856047,122996.083495125,95394.1705156378,83887.4509861645,100888.516831154,116075.10332312,84908.8453332437,83207.434403806,62496.4002137385,104611.202480051,86149.623802741
"CAETHG_RS11235",58.7017930021381,16.6733165652738,114.044295771813,28.6245619232037,25.4794505616586,10.7163859726594,120.755141400705,34.306409050637,153.28365816888,26.8770956802584,104.949303546589,15.8559383902282,15.3854335160174,57.6430184690199,100.860064160558
"CAETHG_RS11240",51019.6111858583,39880.7206334055,66304.8231231473,45015.4912197582,25516.2542124699,48377.8879674972,54663.819999818,30047.6824098683,45583.3084678879,52831.8826034891,47300.0680567614,41585.596129457,34766.4641161445,55731.0104224437,64445.5465960305
"CAETHG_RS11245",0,1.85259072947487,1.32609646246295,0.841898880094226,0,1.64867476502453,0,4.73191848974303,0,0,0.971752810616566,2.26513405574688,1.53854335160174,0,1.00860064160558
